"","SITE","SST_range","SST_Mean","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period"
"151","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",58,11.5824,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"152","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",133,11.5824,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"153","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",131,11.5824,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"154","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",110,11.5824,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"155","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",6,11.5824,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"156","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",60,11.5824,60,85,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"157","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",72,11.5824,60,97,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"158","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",11,11.5824,60,10,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"159","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",13,11.5824,60,10,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"160","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",7,11.5824,60,0,-14.332425,-170.824373,2025,"Q20","esa","Post-Bleaching"
"161","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",170,11.5824,60,99,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"162","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",36,11.5824,60,70,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"163","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",95,11.5824,60,98,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"164","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",81,11.5824,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"165","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",18,11.5824,60,20,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"166","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",90,11.5824,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"167","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",120,11.5824,60,99,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"168","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,11.5824,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"169","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",105,11.5824,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"170","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",43,11.5824,60,70,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"171","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",90,11.5824,60,85,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"172","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",88,11.5824,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"173","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",150,11.5824,60,85,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"174","TUT-216",0.918400319417318,29.6661147550156,"3/14/2025",43,12.4968,60,5,-14.329052,-170.831801,2025,"Q80","esa","Post-Bleaching"
"175","TUT-216",0.918400319417318,29.6661147550156,"3/14/2025",17,12.4968,60,0,-14.329052,-170.831801,2025,"QMED","esa","Post-Bleaching"
